-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2018 through 10/22/2025 in LST
Location: Latitude  31.5587   Longitude 74.3507 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 209.49 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
CLRSKY_SFC_SW_DWN      CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (Wh/m^2) 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (Wh/m^2) 
SZA                    CERES SYN1deg Solar Zenith Angle (Degrees) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
PS                     MERRA-2 Surface Pressure (kPa) 
WS10M                  MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                  MERRA-2 Wind Direction at 10 Meters (Degrees) 
-END HEADER-
YEAR,MO,DY,HR,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,SZA,T2M,QV2M,RH2M,PS,WS10M,WD10M
2018,1,2,22,0.0,0.0,0.0,0.0,90.0,12.13,2.73,30.71,99.16,1.17,44.3
2018,1,2,23,0.0,0.0,0.0,0.0,90.0,11.1,2.74,32.98,99.13,1.38,56.0
2018,1,3,0,0.0,0.0,0.0,0.0,90.0,10.06,2.77,35.73,99.1,1.43,70.4
2018,1,3,1,0.0,0.0,0.0,0.0,90.0,9.43,2.77,37.26,99.07,1.42,92.4
2018,1,3,2,0.0,0.0,0.0,0.0,90.0,9.01,2.74,37.9,99.04,1.41,118.9
2018,1,3,3,0.0,0.0,0.0,0.0,90.0,8.45,2.7,38.78,99.0,1.46,144.8
2018,1,3,4,0.0,0.0,0.0,0.0,90.0,7.75,2.65,39.92,98.99,1.58,167.5
2018,1,3,5,0.0,0.0,0.0,0.0,90.0,7.11,2.59,40.77,99.02,1.72,185.0
2018,1,3,6,0.0,0.0,0.0,0.0,90.0,6.56,2.55,41.72,99.1,1.71,200.9
2018,1,3,7,33.53,12.52,0.0,12.42,85.52,6.46,2.59,42.71,99.19,1.61,217.2
2018,1,3,8,176.48,73.25,0.6,63.3,75.11,8.41,2.93,42.31,99.27,1.4,232.2
2018,1,3,9,334.25,138.05,2.72,119.95,66.07,10.64,2.62,32.59,99.34,1.33,245.2
2018,1,3,10,456.55,190.65,7.83,164.35,59.15,13.36,2.71,28.17,99.34,0.86,260.6
2018,1,3,11,552.8,257.02,18.53,215.57,55.17,17.39,2.56,20.53,99.27,1.53,271.5
2018,1,3,12,551.35,343.25,21.52,294.46,54.76,19.74,2.39,16.53,99.18,2.02,279.7
2018,1,3,13,486.73,232.65,324.65,156.32,58.02,20.24,2.34,15.68,99.09,1.98,282.3
2018,1,3,14,367.23,179.9,147.9,126.54,64.38,19.95,2.35,16.02,99.03,1.7,283.6
2018,1,3,15,210.95,109.85,90.45,81.27,73.02,18.27,3.48,26.31,98.97,1.08,285.1
2018,1,3,16,58.62,40.92,19.34,34.57,83.16,16.75,2.79,23.22,98.94,1.0,284.5
2018,1,3,17,0.0,0.0,0.0,0.0,90.0,15.52,2.46,22.15,98.95,0.92,278.1
2018,1,3,18,0.0,0.0,0.0,0.0,90.0,15.01,2.44,22.72,99.01,0.89,272.6
2018,1,3,19,0.0,0.0,0.0,0.0,90.0,14.46,2.39,23.07,99.06,0.83,268.6
2018,1,3,20,0.0,0.0,0.0,0.0,90.0,13.96,2.35,23.44,99.09,0.64,273.6
2018,1,3,21,0.0,0.0,0.0,0.0,90.0,13.4,2.34,24.21,99.12,0.43,312.2
2018,1,3,22,0.0,0.0,0.0,0.0,90.0,12.51,2.37,26.0,99.15,0.64,13.6
2018,1,3,23,0.0,0.0,0.0,0.0,90.0,11.19,2.34,28.01,99.14,1.13,41.8
2018,1,4,0,0.0,0.0,0.0,0.0,90.0,9.48,2.41,32.33,99.12,1.64,56.7
2018,1,4,1,0.0,0.0,0.0,0.0,90.0,8.3,2.47,35.88,99.09,2.01,67.1
2018,1,4,2,0.0,0.0,0.0,0.0,90.0,7.43,2.52,38.83,99.06,2.09,75.6
2018,1,4,3,0.0,0.0,0.0,0.0,90.0,6.98,2.56,40.66,99.02,2.01,83.7
2018,1,4,4,0.0,0.0,0.0,0.0,90.0,6.74,2.58,41.65,99.0,1.94,93.2
2018,1,4,5,0.0,0.0,0.0,0.0,90.0,6.47,2.6,42.76,99.0,1.87,105.2
2018,1,4,6,0.0,0.0,0.0,0.0,90.0,6.18,2.63,44.15,99.04,1.82,120.8
2018,1,4,7,32.58,12.52,0.0,12.42,85.54,6.16,2.67,44.9,99.09,1.82,139.9
2018,1,4,8,174.02,84.68,6.94,74.79,75.12,8.7,2.94,41.57,99.14,2.01,156.2
2018,1,4,9,332.85,163.3,11.73,139.81,66.06,11.31,2.76,32.78,99.18,2.27,161.5
2018,1,4,10,457.48,240.9,21.78,200.96,59.11,14.67,2.84,27.07,99.18,1.94,161.4
2018,1,4,11,537.35,344.55,39.81,292.94,55.08,19.55,2.41,16.86,99.13,2.52,187.3
2018,1,4,12,529.6,410.1,243.19,246.47,54.65,20.84,2.34,15.1,99.05,2.52,199.4
2018,1,4,13,463.65,394.7,263.76,230.97,57.89,21.07,2.34,14.88,99.0,2.33,206.0
2018,1,4,14,344.62,274.4,138.08,203.87,64.24,20.58,2.38,15.59,98.96,1.91,213.0
2018,1,4,15,197.07,168.93,60.97,143.16,72.88,19.02,3.58,25.81,98.92,0.95,228.4
2018,1,4,16,54.83,48.92,6.51,42.39,83.0,17.92,2.94,22.72,98.91,0.59,287.8
2018,1,4,17,0.0,0.0,0.0,0.0,90.0,16.37,2.82,24.05,98.94,1.08,348.3
2018,1,4,18,0.0,0.0,0.0,0.0,90.0,14.56,2.96,28.36,99.0,1.84,9.7
2018,1,4,19,0.0,0.0,0.0,0.0,90.0,12.97,3.0,31.89,99.05,2.43,26.4
2018,1,4,20,0.0,0.0,0.0,0.0,90.0,11.55,3.04,35.49,99.07,2.75,40.3
2018,1,4,21,0.0,0.0,0.0,0.0,90.0,10.51,3.06,38.29,99.1,2.85,48.7
2018,1,4,22,0.0,0.0,0.0,0.0,90.0,9.83,3.08,40.34,99.12,2.82,53.9
2018,1,4,23,0.0,0.0,0.0,0.0,90.0,8.87,3.08,43.04,99.12,2.85,59.2
2018,1,5,0,0.0,0.0,0.0,0.0,90.0,7.93,3.08,45.86,99.09,2.86,65.4
2018,1,5,1,0.0,0.0,0.0,0.0,90.0,7.14,3.09,48.55,99.08,2.81,75.4
2018,1,5,2,0.0,0.0,0.0,0.0,90.0,6.61,3.11,50.67,99.05,2.75,88.1
2018,1,5,3,0.0,0.0,0.0,0.0,90.0,6.19,3.11,52.14,99.01,2.68,102.9
2018,1,5,4,0.0,0.0,0.0,0.0,90.0,5.84,3.08,52.88,98.98,2.56,120.0
2018,1,5,5,0.0,0.0,0.0,0.0,90.0,5.56,3.02,52.88,99.0,2.42,137.7
2018,1,5,6,0.0,0.0,0.0,0.0,90.0,5.33,2.94,52.34,99.05,2.26,156.3
2018,1,5,7,26.48,24.4,1.44,25.91,85.56,5.79,2.91,50.2,99.1,2.04,173.3
2018,1,5,8,136.38,130.32,63.19,108.61,75.11,8.88,2.92,40.8,99.16,2.09,189.4
2018,1,5,9,278.65,271.55,166.4,189.5,66.03,11.3,2.87,34.12,99.21,1.38,206.2
2018,1,5,10,397.58,391.92,258.12,232.69,59.05,15.12,2.81,26.03,99.21,1.38,220.3
2018,1,5,11,498.1,411.12,319.71,200.82,55.0,18.92,2.62,19.06,99.15,2.0,219.5
2018,1,5,12,500.75,442.75,335.07,227.84,54.53,20.28,2.63,17.57,99.07,1.86,232.2
2018,1,5,13,428.08,427.0,348.82,218.29,57.75,20.77,2.66,17.23,99.01,1.81,248.7
2018,1,5,14,364.3,362.75,406.55,175.01,64.09,20.61,2.72,17.78,98.96,1.67,265.2
2018,1,5,15,206.7,205.6,255.81,116.52,72.73,19.39,3.89,27.41,98.95,1.09,287.6
2018,1,5,16,56.55,56.28,34.92,45.75,82.83,16.81,3.55,29.42,98.95,1.35,318.0
2018,1,5,17,0.0,0.0,0.0,0.0,90.0,15.03,3.14,29.18,98.97,1.71,333.3
2018,1,5,18,0.0,0.0,0.0,0.0,90.0,13.87,3.11,31.17,99.02,2.06,341.6
2018,1,5,19,0.0,0.0,0.0,0.0,90.0,12.61,3.11,33.85,99.07,2.35,346.4
2018,1,5,20,0.0,0.0,0.0,0.0,90.0,11.44,3.13,36.81,99.09,2.56,349.0
2018,1,5,21,0.0,0.0,0.0,0.0,90.0,10.38,3.16,39.88,99.09,2.7,350.0
2018,1,5,22,0.0,0.0,0.0,0.0,90.0,9.4,3.2,43.13,99.09,2.82,349.2
2018,1,5,23,0.0,0.0,0.0,0.0,90.0,8.53,3.25,46.44,99.06,2.91,348.7
2018,1,6,0,0.0,0.0,0.0,0.0,90.0,7.78,3.34,50.2,99.03,2.93,348.4
2018,1,6,1,0.0,0.0,0.0,0.0,90.0,7.12,3.44,54.07,99.0,2.92,346.5
2018,1,6,2,0.0,0.0,0.0,0.0,90.0,6.54,3.54,57.89,98.96,2.87,345.3
2018,1,6,3,0.0,0.0,0.0,0.0,90.0,6.02,3.62,61.33,98.92,2.82,345.4
2018,1,6,4,0.0,0.0,0.0,0.0,90.0,5.57,3.68,64.31,98.91,2.77,344.1
2018,1,6,5,0.0,0.0,0.0,0.0,90.0,5.21,3.73,66.85,98.94,2.7,339.9
2018,1,6,6,0.0,0.0,0.0,0.0,90.0,4.93,3.76,68.77,99.01,2.62,333.7
2018,1,6,7,30.48,28.98,8.3,29.26,85.57,5.67,3.8,66.04,99.06,2.38,326.3
2018,1,6,8,160.9,157.77,161.95,107.42,75.11,9.51,3.85,51.49,99.11,2.63,315.6
2018,1,6,9,316.62,314.95,307.8,178.44,66.0,12.32,3.91,43.4,99.15,2.03,297.6
2018,1,6,10,427.4,413.38,357.93,210.97,58.98,16.8,3.84,31.91,99.16,2.77,295.0
2018,1,6,11,530.47,529.7,535.78,198.69,54.9,19.59,3.49,24.33,99.12,3.7,295.5
2018,1,6,12,538.75,538.4,544.51,193.33,54.41,20.45,3.35,22.13,99.03,3.57,292.2
2018,1,6,13,485.23,485.08,525.53,188.96,57.6,20.79,3.22,20.81,98.94,3.47,291.3
2018,1,6,14,373.58,373.38,453.73,165.57,63.93,20.57,3.11,20.37,98.9,3.4,293.6
2018,1,6,15,230.3,230.07,361.99,111.13,72.57,19.49,3.22,22.54,98.88,2.76,296.5
2018,1,6,16,74.05,73.95,137.95,49.57,82.65,15.34,3.88,35.29,98.87,2.3,294.7
2018,1,6,17,0.0,0.0,0.0,0.0,90.0,12.7,3.38,36.51,98.9,2.71,291.9
2018,1,6,18,0.0,0.0,0.0,0.0,90.0,11.38,3.26,38.45,98.98,2.94,290.3
2018,1,6,19,0.0,0.0,0.0,0.0,90.0,10.27,3.17,40.28,99.04,3.13,291.2
2018,1,6,20,0.0,0.0,0.0,0.0,90.0,9.33,3.1,41.98,99.09,3.26,296.0
2018,1,6,21,0.0,0.0,0.0,0.0,90.0,8.51,3.05,43.67,99.13,3.32,304.9
2018,1,6,22,0.0,0.0,0.0,0.0,90.0,7.74,3.03,45.73,99.14,3.31,315.0
2018,1,6,23,0.0,0.0,0.0,0.0,90.0,7.01,3.05,48.38,99.12,3.27,323.8
2018,1,7,0,0.0,0.0,0.0,0.0,90.0,6.37,3.1,51.37,99.1,3.19,329.9
2018,1,7,1,0.0,0.0,0.0,0.0,90.0,5.84,3.17,54.48,99.08,3.09,333.1
2018,1,7,2,0.0,0.0,0.0,0.0,90.0,5.36,3.25,57.74,99.06,3.05,334.1
2018,1,7,3,0.0,0.0,0.0,0.0,90.0,4.91,3.31,60.66,99.03,3.01,333.6
2018,1,7,4,0.0,0.0,0.0,0.0,90.0,4.51,3.36,63.3,99.02,2.97,332.1
2018,1,7,5,0.0,0.0,0.0,0.0,90.0,4.21,3.39,65.24,99.04,2.89,329.4
2018,1,7,6,0.0,0.0,0.0,0.0,90.0,4.0,3.39,66.23,99.07,2.76,325.3
2018,1,7,7,43.83,43.72,144.88,29.49,85.57,4.99,3.39,61.82,99.12,2.46,320.3
2018,1,7,8,221.18,220.75,554.38,74.7,75.09,9.07,3.41,47.02,99.17,2.66,310.6
2018,1,7,9,396.38,395.77,702.96,108.87,65.96,11.93,3.45,39.33,99.22,1.97,292.0
2018,1,7,10,529.55,529.05,783.86,119.91,58.91,16.38,3.36,28.7,99.23,2.66,287.5
2018,1,7,11,586.28,585.25,736.11,149.83,54.79,19.45,3.08,21.68,99.18,3.83,290.8
2018,1,7,12,596.35,589.92,701.41,171.35,54.27,20.38,3.01,19.99,99.1,4.0,289.0
2018,1,7,13,537.08,536.62,709.89,148.0,57.45,20.7,2.94,19.13,99.03,4.04,287.7
2018,1,7,14,417.62,417.3,630.35,133.55,63.77,20.51,2.89,19.01,98.98,3.9,288.4
2018,1,7,15,253.75,253.52,487.55,98.53,72.41,19.6,3.02,21.02,98.96,3.12,288.7
2018,1,7,16,83.53,83.45,205.86,48.67,82.47,15.24,3.67,33.63,98.97,2.54,284.1
2018,1,7,17,0.0,0.0,0.0,0.0,90.0,12.41,3.25,35.82,99.0,2.96,279.1
2018,1,7,18,0.0,0.0,0.0,0.0,90.0,11.33,3.15,37.31,99.07,3.13,275.5
2018,1,7,19,0.0,0.0,0.0,0.0,90.0,10.44,3.08,38.73,99.13,3.25,275.1
2018,1,7,20,0.0,0.0,0.0,0.0,90.0,9.64,3.02,40.08,99.16,3.3,277.5
2018,1,7,21,0.0,0.0,0.0,0.0,90.0,8.88,2.98,41.64,99.17,3.23,283.3
2018,1,7,22,0.0,0.0,0.0,0.0,90.0,8.18,2.94,43.06,99.14,3.1,291.8
2018,1,7,23,0.0,0.0,0.0,0.0,90.0,7.46,2.91,44.75,99.1,3.03,300.5
2018,1,8,0,0.0,0.0,0.0,0.0,90.0,6.83,2.89,46.39,99.07,2.95,306.9
2018,1,8,1,0.0,0.0,0.0,0.0,90.0,6.31,2.88,47.9,99.03,2.88,308.9
2018,1,8,2,0.0,0.0,0.0,0.0,90.0,5.8,2.87,49.43,99.0,2.86,306.9
2018,1,8,3,0.0,0.0,0.0,0.0,90.0,5.33,2.88,51.24,98.98,2.91,303.8
2018,1,8,4,0.0,0.0,0.0,0.0,90.0,4.97,2.88,52.55,98.99,2.93,302.4
2018,1,8,5,0.0,0.0,0.0,0.0,90.0,4.8,2.89,53.38,99.04,2.83,303.5
2018,1,8,6,0.0,0.0,0.0,0.0,90.0,4.91,2.91,53.37,99.1,2.58,305.2
2018,1,8,7,42.85,42.65,121.75,30.3,85.57,5.96,2.96,50.5,99.17,2.15,306.1
2018,1,8,8,219.48,217.6,521.82,76.65,75.07,9.65,3.06,40.62,99.25,1.88,303.5
2018,1,8,9,396.6,392.83,680.35,113.43,65.91,12.38,3.08,34.13,99.33,1.19,289.2
2018,1,8,10,532.38,522.33,731.43,139.15,58.84,16.98,3.05,25.12,99.35,1.53,288.7
2018,1,8,11,583.53,573.5,658.58,183.79,54.68,20.03,2.88,19.59,99.31,1.92,292.3
2018,1,8,12,594.33,593.95,723.91,153.15,54.13,20.99,2.81,18.0,99.24,1.75,289.1
2018,1,8,13,537.78,537.33,696.19,152.85,57.29,21.38,2.76,17.25,99.19,1.66,287.6
2018,1,8,14,420.6,419.83,627.06,135.69,63.61,21.26,2.72,17.12,99.17,1.69,290.8
2018,1,8,15,256.62,255.95,483.12,100.71,72.25,20.24,3.33,22.31,99.17,1.43,294.4
2018,1,8,16,87.35,87.1,216.92,49.85,82.28,17.45,3.49,27.84,99.17,1.5,294.0
2018,1,8,17,0.0,0.0,0.0,0.0,90.0,15.36,2.99,27.26,99.19,1.59,291.7
2018,1,8,18,0.0,0.0,0.0,0.0,90.0,14.54,2.9,27.9,99.26,1.62,289.1
2018,1,8,19,0.0,0.0,0.0,0.0,90.0,14.14,2.81,27.76,99.33,1.68,286.3
2018,1,8,20,0.0,0.0,0.0,0.0,90.0,13.25,2.77,29.01,99.37,1.64,283.4
2018,1,8,21,0.0,0.0,0.0,0.0,90.0,12.45,2.75,30.36,99.39,1.6,280.5
2018,1,8,22,0.0,0.0,0.0,0.0,90.0,11.66,2.73,31.75,99.4,1.61,281.8
2018,1,8,23,0.0,0.0,0.0,0.0,90.0,10.79,2.71,33.39,99.39,1.7,287.1
2018,1,9,0,0.0,0.0,0.0,0.0,90.0,10.08,2.69,34.75,99.39,1.86,294.1
2018,1,9,1,0.0,0.0,0.0,0.0,90.0,9.2,2.66,36.46,99.4,2.02,300.6
2018,1,9,2,0.0,0.0,0.0,0.0,90.0,8.16,2.63,38.68,99.4,2.2,307.2
2018,1,9,3,0.0,0.0,0.0,0.0,90.0,7.27,2.6,40.63,99.38,2.31,313.9
2018,1,9,4,0.0,0.0,0.0,0.0,90.0,6.68,2.57,41.82,99.37,2.3,318.7
2018,1,9,5,0.0,0.0,0.0,0.0,90.0,6.43,2.55,42.22,99.4,2.19,320.9
2018,1,9,6,0.0,0.0,0.0,0.0,90.0,6.4,2.53,42.01,99.47,2.01,319.6
2018,1,9,7,39.35,39.33,52.66,32.99,85.57,6.98,2.6,41.51,99.54,1.84,315.0
2018,1,9,8,212.15,211.65,452.12,88.28,75.05,10.37,2.74,34.79,99.61,1.84,307.5
2018,1,9,9,378.33,378.15,569.2,139.85,65.86,13.34,2.67,27.88,99.66,1.71,294.5
2018,1,9,10,511.23,511.23,659.92,158.18,58.75,17.79,2.71,21.28,99.68,2.21,299.0
2018,1,9,11,590.85,590.4,701.81,172.37,54.56,21.4,2.55,15.99,99.61,3.05,310.5
2018,1,9,12,601.08,600.78,717.79,160.53,53.99,22.56,2.48,14.47,99.5,3.09,308.2
2018,1,9,13,542.38,542.22,674.93,165.78,57.13,23.1,2.39,13.49,99.4,3.16,305.3
2018,1,9,14,401.93,354.03,393.61,166.88,63.44,22.85,2.33,13.34,99.33,3.16,302.6
2018,1,9,15,256.77,256.2,432.49,113.16,72.08,21.37,2.85,17.84,99.29,2.37,300.5
2018,1,9,16,89.38,88.95,186.07,54.99,82.09,16.79,3.35,27.89,99.27,2.47,294.7
2018,1,9,17,0.0,0.0,0.0,0.0,90.0,13.94,2.81,28.12,99.3,2.87,290.8
2018,1,9,18,0.0,0.0,0.0,0.0,90.0,12.43,2.7,29.84,99.37,3.09,289.3
2018,1,9,19,0.0,0.0,0.0,0.0,90.0,11.13,2.62,31.58,99.45,3.31,289.2
2018,1,9,20,0.0,0.0,0.0,0.0,90.0,10.09,2.56,33.09,99.5,3.46,289.7
2018,1,9,21,0.0,0.0,0.0,0.0,90.0,9.22,2.51,34.41,99.53,3.57,290.8
2018,1,9,22,0.0,0.0,0.0,0.0,90.0,8.43,2.48,35.87,99.54,3.64,293.3
2018,1,9,23,0.0,0.0,0.0,0.0,90.0,7.71,2.47,37.51,99.51,3.64,296.6
2018,1,10,0,0.0,0.0,0.0,0.0,90.0,7.06,2.48,39.36,99.48,3.58,300.4
2018,1,10,1,0.0,0.0,0.0,0.0,90.0,6.5,2.52,41.55,99.44,3.44,303.9
2018,1,10,2,0.0,0.0,0.0,0.0,90.0,6.01,2.56,43.64,99.4,3.31,306.9
2018,1,10,3,0.0,0.0,0.0,0.0,90.0,5.59,2.6,45.61,99.36,3.22,308.8
2018,1,10,4,0.0,0.0,0.0,0.0,90.0,5.22,2.66,47.87,99.35,3.18,309.3
2018,1,10,5,0.0,0.0,0.0,0.0,90.0,4.87,2.69,49.62,99.38,3.18,308.3
2018,1,10,6,0.0,0.0,0.0,0.0,90.0,4.53,2.71,51.22,99.44,3.24,306.8
2018,1,10,7,37.25,35.05,26.87,33.87,85.56,5.68,2.77,48.35,99.5,3.08,305.8
2018,1,10,8,198.8,182.35,238.49,115.17,75.02,10.39,2.8,35.49,99.57,3.71,304.3
2018,1,10,9,372.02,327.67,329.77,194.84,65.8,13.4,2.8,29.11,99.62,2.85,297.1
2018,1,10,10,508.42,458.9,384.16,263.74,58.66,17.71,2.79,22.0,99.61,2.93,290.2
2018,1,10,11,587.33,566.4,552.74,251.84,54.44,21.82,2.44,14.9,99.54,4.59,295.6
2018,1,10,12,601.17,546.3,408.39,305.4,53.83,23.12,2.34,13.19,99.45,4.49,293.9
2018,1,10,13,546.78,511.38,459.48,264.5,56.96,23.67,2.27,12.37,99.38,4.36,293.4
2018,1,10,14,429.08,403.92,451.28,198.86,63.27,23.52,2.24,12.31,99.32,4.25,293.6
2018,1,10,15,263.92,251.32,313.18,153.07,71.91,22.19,2.53,15.07,99.28,3.25,292.8
2018,1,10,16,89.12,86.28,130.86,66.8,81.89,16.97,3.11,25.6,99.26,3.02,288.0
2018,1,10,17,0.0,0.0,0.0,0.0,90.0,13.4,2.74,28.39,99.28,3.62,284.7
2018,1,10,18,0.0,0.0,0.0,0.0,90.0,12.25,2.63,29.4,99.32,3.85,284.1
